               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094902,            0.028487,            0.025115,             0.70262,             0.16667,             0.18174,            0.060218,            0.067739,            0.015339,            0.012847,            0.070811,           0.0032432,           0.0032432
                   1,             0.06169,            0.022842,            0.013501,             0.32052,             0.57167,             0.38287,             0.16963,            0.056503,            0.011065,            0.003557,            0.040746,           0.0065115,           0.0065115
                   2,            0.058431,            0.019926,           0.0078219,             0.48456,             0.48278,             0.45152,             0.17164,            0.056281,           0.0095756,           0.0028193,            0.010615,           0.0097137,           0.0097137
                   3,            0.051014,            0.018613,            0.006438,             0.49853,             0.59833,             0.48971,             0.18438,            0.059052,           0.0097363,           0.0025136,            0.009703,            0.009703,            0.009703
                   4,             0.04666,            0.018729,           0.0052739,             0.45464,             0.74389,             0.60352,             0.30517,            0.039591,            0.010034,           0.0021681,            0.009703,            0.009703,            0.009703
                   5,            0.043365,             0.01748,           0.0051677,             0.50127,               0.525,             0.49609,             0.24471,            0.048357,           0.0097902,           0.0040999,            0.009604,            0.009604,            0.009604
                   6,             0.04112,             0.01692,           0.0045434,             0.59982,             0.68113,             0.66156,             0.35331,            0.038308,            0.010401,           0.0027808,            0.009505,            0.009505,            0.009505
                   7,            0.040452,            0.017353,           0.0041301,             0.65181,             0.77613,             0.73691,             0.34089,            0.041164,           0.0097044,           0.0025578,            0.009406,            0.009406,            0.009406
                   8,             0.03905,            0.016807,             0.00382,             0.61308,             0.58092,             0.63153,             0.35883,            0.037625,            0.010551,            0.011179,            0.009307,            0.009307,            0.009307
                   9,            0.037561,            0.016854,           0.0034016,             0.60169,             0.54008,             0.57927,             0.33602,            0.036338,            0.011132,           0.0051216,            0.009208,            0.009208,            0.009208
                  10,            0.037152,            0.016541,           0.0034179,              0.6262,             0.61778,             0.59822,             0.35011,            0.034685,            0.010328,           0.0037683,            0.009109,            0.009109,            0.009109
                  11,            0.035189,            0.016055,           0.0035405,             0.70225,              0.7614,             0.79185,             0.52384,              0.0301,           0.0085294,           0.0025679,             0.00901,             0.00901,             0.00901
                  12,            0.035277,            0.016374,           0.0030328,             0.66623,             0.77333,             0.74682,             0.48333,            0.030711,            0.009042,           0.0026085,            0.008911,            0.008911,            0.008911
                  13,            0.035067,            0.016349,           0.0034164,             0.64691,             0.70736,             0.72409,             0.43041,             0.03104,             0.00983,            0.001966,            0.008812,            0.008812,            0.008812
                  14,            0.035027,            0.015535,           0.0032797,             0.66319,             0.73056,             0.71966,             0.41903,            0.033704,           0.0091951,           0.0032536,            0.008713,            0.008713,            0.008713
                  15,            0.033895,            0.015492,           0.0033368,             0.62591,             0.63389,             0.69707,             0.40748,            0.034072,           0.0097373,           0.0041923,            0.008614,            0.008614,            0.008614
                  16,            0.032864,            0.015357,           0.0028984,             0.64299,             0.83033,             0.78203,             0.51462,             0.03011,           0.0086818,           0.0015954,            0.008515,            0.008515,            0.008515
                  17,            0.031527,            0.014859,           0.0024395,             0.67908,              0.7918,             0.76031,             0.50535,            0.030024,           0.0089273,           0.0021211,            0.008416,            0.008416,            0.008416
                  18,            0.032337,            0.014363,           0.0023194,             0.73506,             0.70278,             0.73201,             0.46327,            0.030225,           0.0087357,           0.0023224,            0.008317,            0.008317,            0.008317
                  19,            0.031746,            0.014964,           0.0027606,             0.65483,             0.80909,             0.73607,             0.48721,            0.027387,           0.0090096,           0.0022725,            0.008218,            0.008218,            0.008218
                  20,            0.031053,            0.013671,           0.0023467,             0.71632,              0.7625,              0.7465,              0.4535,            0.032713,           0.0084367,           0.0026207,            0.008119,            0.008119,            0.008119
                  21,             0.03058,            0.014711,           0.0020444,             0.73508,             0.70389,             0.75102,             0.47328,            0.036434,           0.0080194,           0.0026023,             0.00802,             0.00802,             0.00802
                  22,            0.029605,            0.013869,           0.0022995,             0.68461,               0.755,             0.75681,             0.52625,            0.026225,           0.0088007,           0.0022126,            0.007921,            0.007921,            0.007921
                  23,            0.028808,            0.014364,           0.0021612,             0.68687,             0.78111,             0.77076,             0.51991,            0.026827,           0.0083153,           0.0019378,            0.007822,            0.007822,            0.007822
                  24,            0.029485,            0.013761,           0.0017591,             0.72391,             0.87111,             0.82175,             0.54878,            0.025846,           0.0082321,           0.0023194,            0.007723,            0.007723,            0.007723
                  25,            0.028322,            0.013637,           0.0022859,              0.7968,             0.68355,             0.79265,             0.54008,            0.025831,            0.008203,            0.003191,            0.007624,            0.007624,            0.007624
                  26,            0.028286,            0.013347,           0.0020363,             0.67706,             0.81722,             0.79532,             0.52571,             0.02732,           0.0084343,           0.0021047,            0.007525,            0.007525,            0.007525
                  27,            0.028572,            0.013391,           0.0023543,             0.69391,             0.86944,             0.80554,             0.54383,            0.025533,           0.0083971,           0.0018523,            0.007426,            0.007426,            0.007426
                  28,            0.028314,            0.012869,           0.0020021,             0.72019,             0.82778,             0.79805,             0.55003,            0.027205,           0.0079494,           0.0024364,            0.007327,            0.007327,            0.007327
                  29,            0.027144,             0.01267,           0.0018844,             0.70269,             0.80559,             0.77458,             0.52513,            0.025588,           0.0084972,           0.0017419,            0.007228,            0.007228,            0.007228
                  30,            0.026669,            0.012982,           0.0020426,             0.74446,              0.7596,             0.81256,             0.54799,            0.026831,           0.0084274,           0.0022081,            0.007129,            0.007129,            0.007129
